,number,cleaned_number
1903,৪৫০টি,৪৫০
1904,৪৫০টি।,৪৫০
1905,৪৫১,৪৫১
1906,৪৫২,৪৫২
1907,৪৫৩,৪৫৩
1908,৪৫৪।,৪৫৪
1909,৪৫৫,৪৫৫
1910,৪৫৬,৪৫৬
1911,৪৫৬টি,৪৫৬
1912,৪৫৭,৪৫৭
1913,৪৫৭শতাংশ,৪৫৭
1914,৪৫৮,৪৫৮
1915,৪৫৮০,৪৫৮০
1916,৪৫৯,৪৫৯
1917,৪৬,৪৬
1918,৪৬.১,৪৬১
1919,৪৬টি,৪৬
1920,৪৬তম,৪৬
1921,৪৬নং,৪৬
1922,৪৬০,৪৬০
1923,৪৬০টি,৪৬০
1924,৪৬২,৪৬২
1925,৪৬৫টি,৪৬৫
1926,৪৬৬টি,৪৬৬
1927,৪৬৮,৪৬৮
1928,৪৬৯।,৪৬৯
1929,৪৭,৪৭
1930,৪৭(৪),৪৭৪
1931,"৪৭,",৪৭
1932,৪৭টি,৪৭
1933,৪৭টি।,৪৭
1934,৪৭তম,৪৭
1935,৪৭০,৪৭০
1936,৪৭২।,৪৭২
1937,৪৭৪,৪৭৪
1938,৪৭৬,৪৭৬
1939,৪৭৬।,৪৭৬
1940,৪৭৬টি।,৪৭৬
1941,৪৭৭,৪৭৭
1942,৪৭৭।,৪৭৭
1943,৪৭৯,৪৭৯
1944,৪৭৯-,৪৭৯
1945,৪৮,৪৮
1946,৪৮.২,৪৮২
1947,৪৮.২২,৪৮২২
1948,৪৮.৫,৪৮৫
1949,৪৮/৩।,৪৮৩
1950,৪৮।,৪৮
1951,৪৮টি,৪৮
1952,৪৮তম,৪৮
1953,৪৮০,৪৮০
1954,৪৮২,৪৮২
1955,৪৮৩,৪৮৩
1956,৪৮৪,৪৮৪
1957,৪৮৬,৪৮৬
1958,৪৮৭,৪৮৭
1959,৪৮৭টি,৪৮৭
1960,৪৯,৪৯
1961,"৪৯,",৪৯
1962,৪৯-৩৮,৪৯৩৮
1963,৪৯.৬,৪৯৬
1964,৪৯টি,৪৯
1965,"৪৯টি,",৪৯
1966,৪৯তম,৪৯
1967,৪৯০,৪৯০
1968,৪৯৪,৪৯৪
1969,৪৯৬,৪৯৬
1970,৪৯৮,৪৯৮
1971,৪৯৯,৪৯৯
1972,৪›১০০,৪১০০
1973,৫,৫
1974,৫(২),৫২
1975,"৫,",৫
1976,৫-এর,৫
1977,৫-কালিদাস,৫
1978,৫-০,৫০
1979,৫-১,৫১
1980,৫-২,৫২
1981,৫-৩,৫৩
1982,৫-৪,৫৪
1983,৫-৬,৫৬
1984,৫-৬টি,৫৬
1985,৫-৬শ’,৫৬
1986,৫-৭,৫৭
1987,৫.,৫
1988,৫.২,৫২
1989,৫.৩,৫৩
1990,৫.৫,৫৫
1991,"৫/১২৫,",৫১২৫
1992,৫/৬,৫৬
1993,৫/৬টা,৫৬
1994,"৫/৬৩,",৫৬৩
1995,৫।,৫
1996,৫এস,৫
1997,৫জি,৫
1998,৫টা,৫
1999,৫টা-রাত,৫
2000,৫টার,৫
2001,৫টায়,৫
2002,"৫টায়,",৫
2003,৫টায়।,৫
2004,৫টি,৫
2005,"৫টি,",৫
2006,৫টিই,৫
2007,৫টির,৫
2008,৫তলা,৫
2009,৫নং,৫
2010,৫ম,৫
2011,"৫ম,",৫
2012,৫শ',৫
2013,৫শত,৫
2014,৫শ’,৫
2015,৫শ’র,৫
2016,৫০,৫০
2017,"৫০,০০০",৫০০০০
2018,৫০-১০০,৫০১০০
2019,৫০-৬০,৫০৬০
2020,৫০-৬০টি,৫০৬০
2021,৫০.৩৯,৫০৩৯
2022,৫০/৬০,৫০৬০
2023,৫০:৫০,৫০৫০
2024,৫০টি,৫০
2025,৫০টির,৫০
2026,৫০টিরও,৫০
2027,৫০তম,৫০
2028,৫০০,৫০০
2029,৫০০-১০০০,৫০০১০০০
2030,৫০০এমএইচজেড,৫০০
2031,৫০০টি,৫০০
2032,৫০০তম,৫০০
2033,৫০০শিক্ষার্থী,৫০০
2034,৫০০০,৫০০০
2035,৫০১,৫০১
2036,৫০১জন।,৫০১
2037,৫০৩,৫০৩
2038,৫০৩টি,৫০৩
2039,৫০৫,৫০৫
2040,৫০৬,৫০৬
2041,"৫০৬টি,",৫০৬
2042,৫০৯টি,৫০৯
2043,৫১,৫১
2044,৫১%।,৫১
2045,"৫১,",৫১
2046,৫১.২,৫১২
2047,৫১/এ,৫১
2048,৫১।,৫১
2049,৫১টি,৫১
2050,৫১তম,৫১
2051,৫১২,৫১২
2052,৫২,৫২
2053,৫২(২),৫২২
2054,"৫২,",৫২
2055,৫২টি,৫২
2056,৫২তম,৫২
2057,"৫২তম,",৫২
2058,৫২০,৫২০
2059,৫২১।,৫২১
2060,৫২৬,৫২৬
2061,৫৩,৫৩
2062,৫৩টি,৫৩
2063,৫৩২,৫৩২
2064,৫৩৪টি,৫৩৪
2065,৫৩৫,৫৩৫
2066,৫৩৫টি,৫৩৫
2067,৫৩৬/১,৫৩৬১
2068,৫৩৭,৫৩৭
2069,৫৪,৫৪
2070,৫৪.৫,৫৪৫
2071,৫৪টি,৫৪
2072,৫৪০,৫৪০
2073,"৫৪০টি,",৫৪০
2074,৫৪১টি,৫৪১
2075,৫৪৫,৫৪৫
2076,৫৪৭,৫৪৭
2077,৫৫,৫৫
2078,"৫৫,",৫৫
2079,৫৫-০০,৫৫০০
2080,৫৫।,৫৫
2081,৫৫টি,৫৫
2082,৫৫০,৫৫০
2083,৫৫০-৭০০,৫৫০৭০০
2084,৫৫০টি।,৫৫০
2085,৫৫২,৫৫২
2086,৫৫৩,৫৫৩
2087,৫৫৩টি,৫৫৩
2088,৫৫৪,৫৫৪
2089,৫৫৭টি,৫৫৭
2090,৫৬,৫৬
2091,৫৬।,৫৬
2092,৫৬টি,৫৬
2093,৫৬০,৫৬০
2094,৫৬০টি,৫৬০
2095,৫৬৪,৫৬৪
2096,৫৬৭টি।,৫৬৭
2097,৫৭,৫৭
2098,৫৭-৩৬,৫৭৩৬
2099,৫৭টি,৫৭
2100,৫৭০,৫৭০
2101,৫৭২,৫৭২
2102,৫৭৩,৫৭৩
2103,৫৭৪,৫৭৪
2104,৫৭৫,৫৭৫
2105,৫৭৬,৫৭৬
2106,৫৭৭,৫৭৭
2107,৫৭৮,৫৭৮
2108,৫৮,৫৮
2109,৫৮-৯,৫৮৯
2110,"৫৮/১০,",৫৮১০
2111,৫৮।,৫৮
2112,৫৮০,৫৮০
2113,৫৮১টি,৫৮১
2114,৫৮২,৫৮২
2115,৫৮৩,৫৮৩
2116,৫৮৫,৫৮৫
2117,৫৮৬,৫৮৬
2118,৫৮৭,৫৮৭
2119,৫৯,৫৯
2120,৫৯.৯৬,৫৯৯৬
2121,৫৯টি,৫৯
2122,৫৯০,৫৯০
2123,৫৯০০,৫৯০০
2124,৫৯২,৫৯২
2125,৫৯৪,৫৯৪
2126,৫৯৫,৫৯৫
2127,৫৯৯,৫৯৯
2128,৫৯৯/৬।,৫৯৯৬
2129,৫’শ,৫
2130,৬,৬
2131,"৬,",৬
2132,৬-০,৬০
2133,"৬-০,",৬০
2134,৬-১,৬১
2135,"৬-১,",৬১
2136,"৬-১-২৮-১,",৬১২৮১
2137,৬-২,৬২
2138,"৬-২,",৬২
2139,৬-৩,৬৩
2140,"৬-৩,",৬৩
2141,"৬-৪,",৬৪
2142,৬-৪-এ,৬৪
2143,৬-৭,৬৭
2144,৬-৭টি,৬৭
2145,৬-৮জন,৬৮
2146,৬.,৬
2147,৬.৬-এর,৬৬
2148,৬।,৬
2149,৬টা,৬
2150,৬টা),৬
2151,৬টার,৬
2152,৬টায়,৬
2153,৬টায়।,৬
2154,৬টি,৬
2155,৬টিতে,৬
2156,৬টিতেই,৬
2157,৬নং,৬
2158,৬শ’,৬
2159,৬শ’র,৬
2160,৬ষ্ট,৬
2161,৬ষ্ঠ,৬
2162,৬০,৬০
2163,৬০!,৬০
2164,৬০%-এর,৬০
2165,"৬০,",৬০
2166,৬০-এর,৬০
2167,৬০-৬২,৬০৬২
2168,৬০-৭০,৬০৭০
2169,৬০-৭০টির,৬০৭০
2170,৬০.১১,৬০১১
2171,৬০।,৬০
2172,৬০টি,৬০
2173,৬০নং,৬০
2174,৬০০,৬০০
2175,৬০১।,৬০১
2176,৬০৪,৬০৪
2177,৬০৪১,৬০৪১
2178,৬০৫১,৬০৫১
2179,৬০৮,৬০৮
2180,৬১,৬১
2181,৬১.৫,৬১৫
2182,৬১।,৬১
2183,৬১টি,৬১
2184,৬১তম।,৬১
2185,৬১০,৬১০
2186,৬১৩টিতে।,৬১৩
2187,৬১৮,৬১৮
2188,৬২,৬২
2189,"৬২,",৬২
2190,৬২টি,৬২
2191,৬২টি।,৬২
2192,৬২তম,৬২
2193,৬২০,৬২০
2194,"৬২০টি,",৬২০
2195,৬২২,৬২২
2196,৬২৫তম,৬২৫
2197,৬২৮,৬২৮
2198,৬৩,৬৩
2199,৬৩।,৬৩
2200,৬৩টি,৬৩
2201,৬৩১,৬৩১
2202,৬৩২,৬৩২
2203,৬৩৫,৬৩৫
2204,৬৩৮,৬৩৮
2205,৬৩৯,৬৩৯
2206,৬৪,৬৪
2207,৬৪টি,৬৪
2208,৬৪তম,৬৪
2209,৬৪৫,৬৪৫
2210,৬৪৫টি,৬৪৫
2211,৬৪৯টি,৬৪৯
2212,৬৫,৬৫
2213,"৬৫,",৬৫
2214,৬৫-৬৮,৬৫৬৮
2215,৬৫টি,৬৫
2216,৬৫০,৬৫০
2217,৬৫৬,৬৫৬
2218,৬৫৭টি,৬৫৭
2219,৬৫৯,৬৫৯
2220,৬৬,৬৬
2221,৬৬টি।,৬৬
2222,৬৬তম,৬৬
2223,৬৬০,৬৬০
2224,৬৬১,৬৬১
2225,৬৬২,৬৬২
2226,৬৬৩,৬৬৩
2227,৬৬৪সহ,৬৬৪
2228,৬৬৬,৬৬৬
2229,৬৬৯,৬৬৯
2230,৬৭,৬৭
2231,৬৭তম,৬৭
2232,৬৭০টি,৬৭০
2233,৬৭৩,৬৭৩
2234,৬৭৫,৬৭৫
2235,৬৭৮,৬৭৮
2236,৬৮,৬৮
2237,৬৮*।,৬৮
2238,"৬৮,",৬৮
2239,৬৮জন,৬৮
2240,৬৮তম,৬৮
2241,৬৮০,৬৮০
2242,৬৮১,৬৮১
2243,৬৮৪টি,৬৮৪
2244,৬৮৬,৬৮৬
2245,৬৮৭,৬৮৭
2246,৬৯,৬৯
2247,৬৯তম,৬৯
2248,"৬৯তম,",৬৯
2249,৬৯৬,৬৯৬
2250,৬৯৯,৬৯৯
2251,৭,৭
2252,"৭,",৭
2253,"৭,০০০",৭০০০
2254,৭-এ/০৮নং,৭০৮
2255,৭-০,৭০
2256,৭-১,৭১
2257,৭-৫,৭৫
2258,"৭-৫,",৭৫
2259,৭-৬,৭৬
2260,"৭-৬,",৭৬
2261,৭-৮,৭৮
2262,৭.২,৭২
2263,৭.৪,৭৪
2264,৭/৮জন,৭৮
2265,৭/৮টি,৭৮
2266,৭টা,৭
2267,"৭টা,",৭
2268,৭টার,৭
2269,৭টায়,৭
2270,৭টি,৭
2271,৭টিই,৭
2272,৭টিতে,৭
2273,৭নং,৭
2274,৭ম,৭
2275,৭শ’,৭
2276,৭০,৭০
2277,"৭০,",৭০
2278,৭০/৮০,৭০৮০
2279,৭০।,৭০
2280,৭০টি,৭০
2281,৭০তম,৭০
2282,৭০০,৭০০
2283,"৭০০,",৭০০
2284,৭০০টি,৭০০
2285,৭০১,৭০১
2286,৭০২,৭০২
2287,৭০২টি,৭০২
2288,৭০৪,৭০৪
2289,৭০৫,৭০৫
2290,৭০৯।,৭০৯
2291,৭১,৭১
2292,৭১টি,৭১
2293,৭১টি।,৭১
2294,৭১তম,৭১
2295,৭১৩,৭১৩
2296,৭১৫,৭১৫
2297,৭১৬,৭১৬
2298,৭১’,৭১
2299,৭২,৭২
2300,"৭২,",৭২
2301,৭২-এর,৭২
2302,৭২টি,৭২
2303,৭২তম,৭২
2304,৭২০,৭২০
2305,৭২৪,৭২৪
2306,৭২৫টি,৭২৫
2307,৭২৬,৭২৬
2308,৭৩,৭৩
2309,"৭৩,",৭৩
2310,৭৩.২৫,৭৩২৫
2311,৭৩।,৭৩
2312,৭৩টি,৭৩
2313,৭৩২টি,৭৩২
2314,৭৩৪,৭৩৪
2315,৭৩৬,৭৩৬
2316,৭৩৭,৭৩৭
2317,৭৩৯টি,৭৩৯
2318,৭৪,৭৪
2319,"৭৪,",৭৪
2320,"৭৪,৩৩২",৭৪৩৩২
2321,৭৪.৭০,৭৪৭০
2322,"৭৪টি,",৭৪
2323,৭৪তম,৭৪
2324,৭৪০,৭৪০
2325,৭৪৪,৭৪৪
2326,৭৪৪টি,৭৪৪
2327,৭৫,৭৫
2328,"৭৫,",৭৫
2329,৭৫.২৫,৭৫২৫
2330,৭৫টি,৭৫
2331,৭৫টি।,৭৫
2332,৭৫তম,৭৫
2333,৭৫০,৭৫০
2334,৭৫০০,৭৫০০
2335,৭৫২,৭৫২
2336,৭৫২টি,৭৫২
2337,৭৫৬,৭৫৬
2338,৭৫৮,৭৫৮
2339,৭৫৯,৭৫৯
2340,৭৬,৭৬
2341,৭৬তম,৭৬
2342,৭৬১,৭৬১
2343,৭৬১নং,৭৬১
2344,৭৬৪।,৭৬৪
2345,৭৬৫,৭৬৫
2346,৭৭,৭৭
2347,৭৭.১৫০,৭৭১৫০
2348,"৭৭তম,",৭৭
2349,৭৭০,৭৭০
2350,৭৭১টি,৭৭১
2351,৭৭২।,৭৭২
2352,৭৭৪,৭৭৪
2353,৭৭৭,৭৭৭
2354,৭৮,৭৮
2355,"৭৮,",৭৮
2356,৭৮/১।,৭৮১
2357,৭৮টি,৭৮
2358,৭৮তম,৭৮
2359,৭৮১,৭৮১
2360,৭৮৩,৭৮৩
2361,৭৮৪,৭৮৪
2362,৭৮৫,৭৮৫
2363,৭৯,৭৯
2364,৭৯টি,৭৯
2365,৭৯০টি,৭৯০
2366,৭৯৫,৭৯৫
2367,৭৯৯,৭৯৯
2368,৮,৮
2369,"৮*,",৮
2370,"৮,",৮
2371,"৮,২৫০-২০,০১০",৮২৫০২০০১০
2372,"৮,৪০০",৮৪০০
2373,"৮,৮৮৪",৮৮৮৪
2374,৮-এ,৮
2375,৮-০,৮০
2376,৮-১,৮১
2377,৮-১০,৮১০
2378,৮-২,৮২
2379,৮-২২,৮২২
2380,৮-৫-৩-১।,৮৫৩১
2381,৮-৯,৮৯
2382,৮.১,৮১
2383,৮.৫,৮৫
2384,৮.৬০।,৮৬০
2385,৮।,৮
2386,৮টা,৮
2387,৮টার,৮
2388,৮টায়,৮
2389,৮টায়।,৮
2390,৮টি,৮
2391,৮নং,৮
2392,৮ম,৮
2393,৮শ’,৮
2394,৮০,৮০
2395,৮০+,৮০
2396,"৮০,",৮০
2397,৮০/১২০,৮০১২০
2398,৮০টি,৮০
2399,৮০টির,৮০
2400,৮০টিরও,৮০
2401,৮০তম,৮০
2402,৮০০,৮০০
2403,৮০৬,৮০৬
2404,৮১,৮১
2405,৮১),৮১
2406,"৮১,",৮১
2407,৮১তম,৮১
2408,৮১৬,৮১৬
2409,৮১৭টি,৮১৭
2410,৮২,৮২
2411,৮২.৩,৮২৩
2412,৮২তম,৮২
2413,৮২১,৮২১
2414,৮২৭,৮২৭
2415,৮২৯।,৮২৯
2416,৮৩,৮৩
2417,৮৩টি,৮৩
2418,৮৩তম,৮৩
2419,৮৩০টি,৮৩০
2420,৮৩৩,৮৩৩
2421,৮৩৪,৮৩৪
2422,৮৩৬টি,৮৩৬
2423,৮৩৭টি,৮৩৭
2424,৮৪,৮৪
2425,৮৪/১০,৮৪১০
2426,৮৪।,৮৪
2427,৮৪৮,৮৪৮
2428,৮৫,৮৫
2429,"৮৫,",৮৫
2430,৮৫-নং,৮৫
2431,৮৫টি,৮৫
2432,৮৫০,৮৫০
2433,৮৫৩,৮৫৩
2434,৮৫৪*৪৮০,৮৫৪৪৮০
2435,৮৫৬,৮৫৬
2436,৮৬,৮৬
2437,৮৬-লা,৮৬
2438,৮৬/১৬),৮৬১৬
2439,৮৬।,৮৬
2440,৮৬তম,৮৬
2441,৮৬৮,৮৬৮
2442,৮৭,৮৭
2443,৮৭টি,৮৭
2444,৮৭০,৮৭০
2445,৮৭২,৮৭২
2446,৮৭৬টি।,৮৭৬
2447,৮৮,৮৮
2448,৮৮*,৮৮
2449,৮৮-৩১,৮৮৩১
2450,৮৮.৪,৮৮৪
2451,৮৮/৩,৮৮৩
2452,৮৮৪,৮৮৪
2453,৮৮৬টি,৮৮৬
2454,৮৮৭,৮৮৭
2455,৮৯,৮৯
2456,৮৯কোহলি,৮৯
2457,৮৯টি,৮৯
2458,৮৯তম,৮৯
2459,৮৯৬,৮৯৬
2460,৮৯৭,৮৯৭
2461,৮’র,৮
2462,৯,৯
2463,৯*।,৯
2464,"৯,",৯
2465,"৯,২৮৪",৯২৮৪
2466,"৯,৫৬০।",৯৫৬০
2467,৯-এর,৯
2468,৯-০,৯০
2469,৯-১০,৯১০
2470,৯-১১,৯১১
2471,৯-২,৯২
2472,"৯-২-৩০-২,",৯২৩০২
2473,৯.৩০,৯৩০
2474,৯.৯৪,৯৯৪
2475,৯/১১,৯১১
2476,৯টা,৯
2477,৯টা),৯
2478,৯টার,৯
2479,৯টায়,৯
2480,৯টায়),৯
2481,"৯টায়,",৯
2482,৯টায়।,৯
2483,৯টি,৯
2484,৯নং,৯
2485,৯ম,৯
2486,৯শ’,৯
2487,৯০,৯০
2488,"৯০,",৯০
2489,৯০-১০০,৯০১০০
2490,৯০.১১।,৯০১১
2491,৯০।,৯০
2492,৯০টি,৯০
2493,"৯০তম,",৯০
2494,৯০০,৯০০
2495,৯০০০,৯০০০
2496,৯০২,৯০২
2497,৯০৩,৯০৩
2498,৯০৫,৯০৫
2499,৯০৬,৯০৬
2500,৯০৮,৯০৮
2501,৯০৮টি,৯০৮
2502,৯১,৯১
2503,"৯১/৮,",৯১৮
2504,৯১টি,৯১
2505,৯১০,৯১০
2506,৯১১,৯১১
2507,৯১২.৮৯,৯১২৮৯
2508,৯১৪,৯১৪
2509,৯১৬,৯১৬
2510,৯২,৯২
2511,৯২.৪২।,৯২৪২
2512,৯২.৫১,৯২৫১
2513,৯২টি,৯২
2514,৯২৬,৯২৬
2515,৯৩,৯৩
2516,৯৩।,৯৩
2517,৯৩টি,৯৩
2518,৯৩৩,৯৩৩
2519,৯৩৫,৯৩৫
2520,৯৪,৯৪
2521,৯৪.৫,৯৪৫
2522,৯৪টি,৯৪
2523,৯৪তম।,৯৪
2524,৯৪৪টি,৯৪৪
2525,৯৪৪৩,৯৪৪৩
2526,৯৪৮,৯৪৮
2527,৯৫,৯৫
2528,৯৫-৯০০২৩৫৯।,৯৫৯০০২৩৫৯
2529,৯৫টি,৯৫
2530,৯৫০,৯৫০
2531,৯৫১,৯৫১
2532,৯৫৩,৯৫৩
2533,"৯৫৫৫৯৪৭,",৯৫৫৫৯৪৭
2534,৯৫৫৫৯৫১।,৯৫৫৫৯৫১
2535,৯৫৫৬৪০৭,৯৫৫৬৪০৭
2536,৯৫৫৮৩৩৭।,৯৫৫৮৩৩৭
2537,"৯৫৫৯৪৯৩,",৯৫৫৯৪৯৩
2538,"৯৫৫৯৬৪৩,",৯৫৫৯৬৪৩
2539,৯৫৬,৯৫৬
2540,৯৫৬৩৩৯৭,৯৫৬৩৩৯৭
2541,৯৬,৯৬
2542,৯৬টি,৯৬
2543,৯৬তম,৯৬
2544,৯৬০,৯৬০
2545,৯৬৩-র,৯৬৩
2546,৯৬৪,৯৬৪
2547,৯৬৯,৯৬৯
2548,৯৭,৯৭
2549,৯৭টি,৯৭
2550,৯৭তম,৯৭
2551,৯৭২,৯৭২
2552,৯৮,৯৮
2553,"৯৮,",৯৮
2554,৯৮২,৯৮২
2555,৯৯,৯৯
2556,"৯৯/১০,",৯৯১০
2557,৯৯টি,৯৯
2558,৯৯০টি,৯৯০
2559,৯৯২,৯৯২
2560,‘(১),১
2561,‘ই৩,৩
2562,‘এ’৬১৯।,৬১৯
2563,‘কৃষ-৪’,৪
2564,‘চারুলতা-২০১৬’,২০১৬
2565,‘পোড়ামন-২’,২
2566,‘প্যাকেজ-২’-তে,২
2567,‘ভিশন-২০৩০’,২০৩০
2568,‘সানায়াফ-৬’,৬
2569,‘১৭,১৭
2570,‘১৯৬১,১৯৬১
2571,‘১৯৭২,১৯৭২
2572,‘১৯৭৫,১৯৭৫
2573,‘২০১১,২০১১
2574,‘২১,২১
2575,‘৩ডি,৩
2576,‘৩০-এর,৩০
2577,‘৩২এম’,৩২
2578,‘৫০,৫০
2579,‘৭,৭
2580,’০১,০১
2581,’০৮-এর,০৮
2582,’১১,১১
2583,’১৯৪৩,১৯৪৩
2584,’৭০,৭০
2585,’৭১,৭১
2586,’৭১-এ,৭১
2587,’৭১-এর,৭১
2588,’৭১-র,৭১
2589,’৭২-এর,৭২
2590,’৭৫,৭৫
2591,’৭৫-এ,৭৫
2592,’৭৫-এর,৭৫
2593,’৭৫-পরবর্তী,৭৫
2594,’৭৫-র,৭৫
2595,’৭৮-এর,৭৮
2596,’৭৯,৭৯
2597,’৮০-এর,৮০
2598,’৮৬,৮৬
2599,’৯০-এর,৯০
2600,"’৯১,",৯১
2601,’৯৩,৯৩
2602,"’৯৬,",৯৬
